Nam,Co cau doanh thu,Gia tri
2017,Van tai hang khong,68.9
2017,Hoat dong phu tro van tai,4.26
2017,Ban hang,9.53
2017,Khac,0.841
2018,Van tai hang khong,78.6
2018,Hoat dong phu tro van tai,4.44
2018,Ban hang,13.6
2018,Khac,0.971
2019,Van tai hang khong,78.3
2019,Hoat dong phu tro van tai,5.19
2019,Ban hang,14
2019,Khac,1
2020,Van tai hang khong,31.5
2020,Hoat dong phu tro van tai,3.58
2020,Ban hang,4.98
2020,Khac,0.683
2021,Van tai hang khong,18.4
2021,Hoat dong phu tro van tai,3.16
2021,Ban hang,5.19
2021,Khac,1.34
